index,f1,f2,f3,flag
1,3.14632606790319,0.371058892305738,0.735879163793509,1
2,3.37015911931031,0.425209106935701,0.617833773945966,1
3,2.67853565131181,0.613700635255221,0.693015317591199,2
4,3.69684790226172,0.804614476064468,0.974868524878817,3
5,3.48147904685168,0.451290363796453,1.42794557469128,4
6,3.10116820080179,0.459385594116522,1.86212159213325,4
7,5.32484969776153,0.715830804537358,-0.0119820384749711,5
8,5.53298232176926,0.855618534178285,-0.0672940035856072,5
9,5.39264555132154,0.778053081948745,0.113847775498236,5
10,4.64215424508066,0.498376516357388,0.780097833142233,6
